Date	Home-Team	Away-Team	For	Against	Attendance	Competition	Comp	Comments	Referee	Awarded	Round	Period	
4/7/2001	Chico Rooks	Stanislaus United Cruisers	2	1	1,773	League Game	LGE			As Scored	0	0	
4/14/2001	Chico Rooks	Utah Blitzz	0	1	1,849	League Game	LGE			As Scored	0	0	
4/14/2001	Richmond Kickers	Charleston Battery	2	1	2,238	League Game	LGE			As Scored	0	0	
4/15/2001	El Paso Patriots	Arizona Sahuaros	7	0	0	Inter League Game	ILG			As Scored	0	0	
4/19/2001	San Diego Flash	Milwaukee Rampage	3	0	400	League Game	LGE			As Scored	0	0	
4/20/2001	Greenville Lions	New Hampshire Phantoms	1	4	2,500	League Game	LGE			As Scored	0	0	
4/20/2001	Richmond Kickers	Nashville Metros	1	2	2,511	League Game	LGE			As Scored	0	0	
4/20/2001	Tucson Fireballs	Stanislaus United Cruisers	1	2	100	League Game	LGE			As Scored	0	0	
4/21/2001	Arizona Sahuaros	Stanislaus United Cruisers	0	1	2,250	League Game	LGE			As Scored	0	0	
4/21/2001	Boston Bulldogs	Connecticut Wolves	1	1	1,116	Inter League Game	ILG		Simmons, Erich	As Scored	0	0	
4/21/2001	Carolina Dynamo	New Hampshire Phantoms	3	2	100	League Game	LGE			As Scored	0	0	
4/21/2001	Charlotte Eagles	Charleston Battery	3	2	1,915	League Game	LGE		Feulner, Jeff	As Scored	0	0	
4/21/2001	Chico Rooks	Northern Nevada Aces	3	1	2,304	League Game	LGE		Padilla, Javier	As Scored	0	0	
4/21/2001	El Paso Patriots	Milwaukee Rampage	2	2	649	League Game	LGE		Tsapos, Misail	As Scored	0	0	
4/21/2001	Long Island Rough Riders	New Jersey Stallions	3	2	939	Inter League Game	ILG		Prus, Alex	As Scored	0	0	
4/21/2001	Louisiana Outlaws	Lafayette Lightning	2	4	100	League Game	LGE			As Scored	0	0	
4/22/2001	Greenville Lions	Atlanta Silverbacks	1	2	100	League Game	LGE		Cannales, Roni	As Scored	0	0	
