Player	Team-For	Home-Team	Away-Team	Date	Goal-Time	Goal-Type	Comp	Assist	Assist2	
Afash, Fadi	Utah Blitzz	Chico Rooks	Utah Blitzz	4/14/2001	70		LGE	Estrada, Jorge		
Jeffrey, Kevin	Richmond Kickers	Richmond Kickers	Charleston Battery	4/14/2001	14		LGE	Burke, Michael		
Henderson, Joshua	Richmond Kickers	Richmond Kickers	Charleston Battery	4/14/2001	66		LGE	Lekics, Paul		
Cozier, Mangea (Mac)	Charleston Battery	Richmond Kickers	Charleston Battery	4/14/2001	88		LGE			
Calderson, Carlos	San Diego Flash	San Diego Flash	Milwaukee Rampage	4/19/2001	88		LGE			
Adair, Chugger	San Diego Flash	San Diego Flash	Milwaukee Rampage	4/19/2001	68		LGE			
Adair, Chugger	San Diego Flash	San Diego Flash	Milwaukee Rampage	4/19/2001	72		LGE			
Kirkeles, Peter	Greenville Lions	Greenville Lions	New Hampshire Phantoms	4/20/2001	40		LGE	Frias, Jonathan		
Fleming, Richard	New Hampshire Phantoms	Greenville Lions	New Hampshire Phantoms	4/20/2001	79		LGE	Murphy, Ronald		
Murphy, Ronald	New Hampshire Phantoms	Greenville Lions	New Hampshire Phantoms	4/20/2001	28		LGE			
Keevan, Mike	New Hampshire Phantoms	Greenville Lions	New Hampshire Phantoms	4/20/2001	57		LGE	Murphy, Ronald		
Keevan, Mike	New Hampshire Phantoms	Greenville Lions	New Hampshire Phantoms	4/20/2001	45		LGE			
Lekics, Paul	Richmond Kickers	Richmond Kickers	Nashville Metros	4/20/2001	46		LGE	Namoff, Bryan		
Fenger-Larsen, Jakob	Nashville Metros	Richmond Kickers	Nashville Metros	4/20/2001	50	Penalty	LGE			
Wright, Brandon	Nashville Metros	Richmond Kickers	Nashville Metros	4/20/2001	91		LGE	Bailey, Jaymison (Jaymi)		
Cameron, David	Tucson Fireballs	Tucson Fireballs	Stanislaus United Cruisers	4/20/2001	50		LGE	Muth, Aaron		
Eastman, Gabe	Stanislaus United Cruisers	Tucson Fireballs	Stanislaus United Cruisers	4/20/2001	88		LGE	Cox, Curt		
Eastman, Gabe	Stanislaus United Cruisers	Tucson Fireballs	Stanislaus United Cruisers	4/20/2001	95		LGE			
Macias, Luis Antonio	El Paso Patriots	El Paso Patriots	Milwaukee Rampage	4/21/2001	64		LGE	Rodriguez, Esmundo		
Farias, Carlos	El Paso Patriots	El Paso Patriots	Milwaukee Rampage	4/21/2001	77		LGE	Leal-Gustavo, Oscar		
Soso, Igor	Milwaukee Rampage	El Paso Patriots	Milwaukee Rampage	4/21/2001	86		LGE	Takawira, Vitalis (Digital)		
Hayes, David	Milwaukee Rampage	El Paso Patriots	Milwaukee Rampage	4/21/2001	89		LGE			
Smith, Hendrick	Louisiana Outlaws	Louisiana Outlaws	Lafayette Lightning	4/21/2001	0		LGE			
Wheatley, Matthew	Louisiana Outlaws	Louisiana Outlaws	Lafayette Lightning	4/21/2001	0		LGE	Owens, Danny		
Yerby, Scott	Lafayette Lightning	Louisiana Outlaws	Lafayette Lightning	4/21/2001	0		LGE	Veselka, Chris		
Rebuck, Daniel	Lafayette Lightning	Louisiana Outlaws	Lafayette Lightning	4/21/2001	0		LGE	Veselka, Chris		
Brown, Beau	Lafayette Lightning	Louisiana Outlaws	Lafayette Lightning	4/21/2001	0		LGE	Veselka, Chris		
Brown, Beau	Lafayette Lightning	Louisiana Outlaws	Lafayette Lightning	4/21/2001	0		LGE	Wilkersun, Matthew		
Swinehart, Dustin	Charlotte Eagles	Charlotte Eagles	Charleston Battery	4/21/2001	16		LGE	Leib, Ryan		
Swinehart, Dustin	Charlotte Eagles	Charlotte Eagles	Charleston Battery	4/21/2001	105		LGE	Galeano, Hugo		
Pinch, Mark	Charlotte Eagles	Charlotte Eagles	Charleston Battery	4/21/2001	69		LGE	Leib, Ryan		
