Comp	Date	Home Team	Away Team	Squad-Team	Player	Rating	Time On	Time Off	YC1	YC2	RC	YC Time	Substituted By	Time On+	Time Off+	YC Time+	
LGE	4/13/2007	Puerto Rico Islanders	Rochester Rhinos	Puerto Rico Islanders	Avila, Gustavo	0	0	90	N	N	N	0		0	0	0	
LGE	4/13/2007	Puerto Rico Islanders	Rochester Rhinos	Puerto Rico Islanders	Delgado, Noah	0	0	61	N	N	N	0	Gonzalez-Pareja, Alejandro	0	0	0	
LGE	4/13/2007	Puerto Rico Islanders	Rochester Rhinos	Puerto Rico Islanders	Herrera, Victor Manuel	0	0	90	N	N	N	0		0	0	0	
LGE	4/13/2007	Puerto Rico Islanders	Rochester Rhinos	Puerto Rico Islanders	Miranda, Edwin	0	0	90	N	N	N	0		0	0	0	
LGE	4/13/2007	Puerto Rico Islanders	Rochester Rhinos	Puerto Rico Islanders	Ortiz-Huertas, Rafael (Mime)	0	0	84	N	N	N	0	Needham, Jay	0	0	0	
LGE	4/13/2007	Puerto Rico Islanders	Rochester Rhinos	Puerto Rico Islanders	Rivera, Alexis	0	0	90	Y	N	N	85		0	0	0	
LGE	4/13/2007	Puerto Rico Islanders	Rochester Rhinos	Puerto Rico Islanders	Segovia, Mauricio	0	0	76	Y	N	N	49	Piette, Jeremie	0	0	0	
LGE	4/13/2007	Puerto Rico Islanders	Rochester Rhinos	Puerto Rico Islanders	Velez, Marco	0	0	90	Y	N	N	83		0	0	0	
LGE	4/13/2007	Puerto Rico Islanders	Rochester Rhinos	Puerto Rico Islanders	Marcina, Alen	0	0	89	N	N	N	0	Delgado, Alberto (Cuba)	0	0	0	
LGE	4/13/2007	Puerto Rico Islanders	Rochester Rhinos	Puerto Rico Islanders	Zapata, Alberto	0	0	75	N	N	N	0	Vujanovic, Goran	0	0	0	
LGE	4/13/2007	Puerto Rico Islanders	Rochester Rhinos	Puerto Rico Islanders	Saunders, Josh	0	0	90	N	N	N	0		0	0	0	
LGE	4/13/2007	Puerto Rico Islanders	Rochester Rhinos	Puerto Rico Islanders	Boss, Terry	0	0	0	N	N	N	0		0	0	0	
LGE	4/13/2007	Puerto Rico Islanders	Rochester Rhinos	Puerto Rico Islanders	Delgado, Alberto (Cuba)	0	89	90	N	N	N	0		0	0	0	
LGE	4/13/2007	Puerto Rico Islanders	Rochester Rhinos	Puerto Rico Islanders	Gonzalez-Pareja, Alejandro	0	61	90	N	N	N	0		0	0	0	
LGE	4/13/2007	Puerto Rico Islanders	Rochester Rhinos	Puerto Rico Islanders	Needham, Jay	0	84	90	N	N	N	0		0	0	0	
LGE	4/13/2007	Puerto Rico Islanders	Rochester Rhinos	Puerto Rico Islanders	Piette, Jeremie	0	76	90	N	N	N	0		0	0	0	
LGE	4/13/2007	Puerto Rico Islanders	Rochester Rhinos	Puerto Rico Islanders	Villagas-Espana, Petter	0	0	0	N	N	N	0		0	0	0	
LGE	4/13/2007	Puerto Rico Islanders	Rochester Rhinos	Puerto Rico Islanders	Vujanovic, Goran	0	75	90	N	N	N	0		0	0	0	
LGE	4/13/2007	Puerto Rico Islanders	Rochester Rhinos	Rochester Rhinos	Bonseu, Tenywa (T-Bone)	0	0	90	N	N	N	0		0	0	0	
LGE	4/13/2007	Puerto Rico Islanders	Rochester Rhinos	Rochester Rhinos	Kramer, Daniel	0	0	37	N	N	N	0	Diallo, Hamed	0	0	0	
LGE	4/13/2007	Puerto Rico Islanders	Rochester Rhinos	Rochester Rhinos	Lines, Aaran	0	0	90	N	N	N	0		0	0	0	
LGE	4/13/2007	Puerto Rico Islanders	Rochester Rhinos	Rochester Rhinos	Menyongar, Johnny	0	0	90	N	N	N	0		0	0	0	
LGE	4/13/2007	Puerto Rico Islanders	Rochester Rhinos	Rochester Rhinos	Novak, Kevin	0	0	72	N	N	N	0	Wileman, Ryan	0	0	0	
LGE	4/13/2007	Puerto Rico Islanders	Rochester Rhinos	Rochester Rhinos	Aloisi, Christopher	0	0	90	N	N	N	0		0	0	0	
LGE	4/13/2007	Puerto Rico Islanders	Rochester Rhinos	Rochester Rhinos	Bertz, Kenny	0	0	90	Y	N	N	42		0	0	0	
LGE	4/13/2007	Puerto Rico Islanders	Rochester Rhinos	Rochester Rhinos	Palguta, Scott	0	0	90	N	N	N	0		0	0	0	
LGE	4/13/2007	Puerto Rico Islanders	Rochester Rhinos	Rochester Rhinos	Shirley-Black, Stephen	0	0	81	Y	N	N	74	Martinez, Rey Angel	0	0	0	
LGE	4/13/2007	Puerto Rico Islanders	Rochester Rhinos	Rochester Rhinos	Delicate, Matthew	0	0	90	N	N	N	0		0	0	0	
LGE	4/13/2007	Puerto Rico Islanders	Rochester Rhinos	Rochester Rhinos	Vallow, Scott	0	0	90	N	N	N	0		0	0	0	
LGE	4/13/2007	Puerto Rico Islanders	Rochester Rhinos	Rochester Rhinos	Martinez, Rey Angel	0	81	90	N	N	N	0		0	0	0	
LGE	4/13/2007	Puerto Rico Islanders	Rochester Rhinos	Rochester Rhinos	Wileman, Ryan	0	72	90	N	N	N	0		0	0	0	
LGE	4/13/2007	Puerto Rico Islanders	Rochester Rhinos	Rochester Rhinos	Bolton, Joshua	0	0	0	N	N	N	0		0	0	0	
LGE	4/13/2007	Puerto Rico Islanders	Rochester Rhinos	Rochester Rhinos	Burns, Kevin Charles	0	0	0	N	N	N	0		0	0	0	
LGE	4/13/2007	Puerto Rico Islanders	Rochester Rhinos	Rochester Rhinos	Diallo, Hamed	0	37	90	N	N	N	0		0	0	0	
LGE	4/13/2007	Puerto Rico Islanders	Rochester Rhinos	Rochester Rhinos	Severs, Chad	0	0	0	N	N	N	0		0	0	0	
LGE	4/13/2007	Puerto Rico Islanders	Rochester Rhinos	Rochester Rhinos	Zapata, Hector	0	0	0	N	N	N	0		0	0	0	
LGE	4/15/2007	Miami FC	Rochester Rhinos	Miami FC	Cameron, Sean	0	0	62	N	N	N	0	Goncalves, Douglas	0	0	0	
LGE	4/15/2007	Miami FC	Rochester Rhinos	Miami FC	Oliveira-Filho, Crizam (Zinho)	0	0	90	N	N	N	0		0	0	0	
LGE	4/15/2007	Miami FC	Rochester Rhinos	Miami FC	Pulido, John	0	0	90	N	N	N	0		0	0	0	
LGE	4/15/2007	Miami FC	Rochester Rhinos	Miami FC	Vasquez, Eric	0	0	88	N	N	N	0	Mosquera, Nicolas	0	0	0	
LGE	4/15/2007	Miami FC	Rochester Rhinos	Miami FC	Guillaume, Stephane	0	0	90	N	N	N	0		0	0	0	
LGE	4/15/2007	Miami FC	Rochester Rhinos	Miami FC	Jean-Jacques, Jamil	0	0	82	N	N	N	0	Ramirez, Walter	0	0	0	
LGE	4/15/2007	Miami FC	Rochester Rhinos	Miami FC	Rodgriues, John Paul (JP)	0	0	90	N	N	N	0		0	0	0	
LGE	4/15/2007	Miami FC	Rochester Rhinos	Miami FC	Williams, Christopher	0	0	90	N	N	N	0		0	0	0	
LGE	4/15/2007	Miami FC	Rochester Rhinos	Miami FC	Calcagno, Ignacio (Nacho)	0	0	62	N	N	N	0	Fraser, Sean	0	0	0	
LGE	4/15/2007	Miami FC	Rochester Rhinos	Miami FC	Gonzalez, Luis (Luichi)	0	0	90	N	N	N	0		0	0	0	
LGE	4/15/2007	Miami FC	Rochester Rhinos	Miami FC	Doyle, Chris	0	0	90	N	N	N	0		0	0	0	
LGE	4/15/2007	Miami FC	Rochester Rhinos	Miami FC	Goncalves, Douglas	0	62	90	N	N	N	0		0	0	0	
LGE	4/15/2007	Miami FC	Rochester Rhinos	Miami FC	Van Kanten, Sergio	0	0	0	N	N	N	0		0	0	0	
LGE	4/15/2007	Miami FC	Rochester Rhinos	Miami FC	Dias, Cristiano	0	0	0	N	N	N	0		0	0	0	
LGE	4/15/2007	Miami FC	Rochester Rhinos	Miami FC	Ramirez, Walter	0	82	90	N	N	N	0		0	0	0	
LGE	4/15/2007	Miami FC	Rochester Rhinos	Miami FC	Fraser, Sean	0	62	90	Y	N	N	85		0	0	0	
LGE	4/15/2007	Miami FC	Rochester Rhinos	Miami FC	Gonzalez, Kristian	0	0	0	N	N	N	0		0	0	0	
LGE	4/15/2007	Miami FC	Rochester Rhinos	Miami FC	Mosquera, Nicolas	0	88	90	N	N	N	0		0	0	0	
LGE	4/15/2007	Miami FC	Rochester Rhinos	Rochester Rhinos	Bonseu, Tenywa (T-Bone)	0	0	90	Y	N	N	85		0	0	0	
LGE	4/15/2007	Miami FC	Rochester Rhinos	Rochester Rhinos	Lines, Aaran	0	0	65	Y	N	N	62	Kramer, Daniel	0	0	0	
LGE	4/15/2007	Miami FC	Rochester Rhinos	Rochester Rhinos	Menyongar, Johnny	0	0	90	N	N	N	0		0	0	0	
LGE	4/15/2007	Miami FC	Rochester Rhinos	Rochester Rhinos	Novak, Kevin	0	0	65	N	N	N	0	Martinez, Rey Angel	0	0	0	
LGE	4/15/2007	Miami FC	Rochester Rhinos	Rochester Rhinos	Aloisi, Christopher	0	0	90	Y	N	N	83		0	0	0	
LGE	4/15/2007	Miami FC	Rochester Rhinos	Rochester Rhinos	Bertz, Kenny	0	0	90	N	N	N	0		0	0	0	
LGE	4/15/2007	Miami FC	Rochester Rhinos	Rochester Rhinos	Palguta, Scott	0	0	90	N	N	N	0		0	0	0	
LGE	4/15/2007	Miami FC	Rochester Rhinos	Rochester Rhinos	Shirley-Black, Stephen	0	0	65	Y	N	N	5	Wileman, Ryan	0	0	0	
LGE	4/15/2007	Miami FC	Rochester Rhinos	Rochester Rhinos	Delicate, Matthew	0	0	90	N	N	N	0		0	0	0	
LGE	4/15/2007	Miami FC	Rochester Rhinos	Rochester Rhinos	Diallo, Hamed	0	0	65	N	N	N	0	Bolton, Joshua	0	0	0	
LGE	4/15/2007	Miami FC	Rochester Rhinos	Rochester Rhinos	Vallow, Scott	0	0	90	N	N	N	0		0	0	0	
LGE	4/15/2007	Miami FC	Rochester Rhinos	Rochester Rhinos	Kramer, Daniel	0	65	90	N	N	N	0		0	0	0	
LGE	4/15/2007	Miami FC	Rochester Rhinos	Rochester Rhinos	Martinez, Rey Angel	0	65	90	N	N	N	0		0	0	0	
LGE	4/15/2007	Miami FC	Rochester Rhinos	Rochester Rhinos	Wileman, Ryan	0	65	90	N	N	N	0		0	0	0	
LGE	4/15/2007	Miami FC	Rochester Rhinos	Rochester Rhinos	Bolton, Joshua	0	65	90	N	N	N	0		0	0	0	
LGE	4/15/2007	Miami FC	Rochester Rhinos	Rochester Rhinos	Burns, Kevin Charles	0	0	0	N	N	N	0		0	0	0	
LGE	4/15/2007	Miami FC	Rochester Rhinos	Rochester Rhinos	Severs, Chad	0	0	0	N	N	N	0		0	0	0	
LGE	4/15/2007	Miami FC	Rochester Rhinos	Rochester Rhinos	Zapata, Hector	0	0	0	N	N	N	0		0	0	0	
LGE	4/20/2007	Charleston Battery	Minnesota Thunder	Charleston Battery	Alavanja, Lazo	0	0	90	N	N	N	0		0	0	0	
LGE	4/20/2007	Charleston Battery	Minnesota Thunder	Charleston Battery	Romero-Coreas, Jose	0	0	80	N	N	N	0	Richardson, Michael Evan	0	0	0	
LGE	4/20/2007	Charleston Battery	Minnesota Thunder	Charleston Battery	Vercollone, Luke	0	0	80	Y	N	N	33	Gold, Jeremy	0	0	0	
LGE	4/20/2007	Charleston Battery	Minnesota Thunder	Charleston Battery	Corcoran, Christopher	0	0	90	N	N	N	0		0	0	0	
LGE	4/20/2007	Charleston Battery	Minnesota Thunder	Charleston Battery	Curran, Brandon	0	0	90	N	N	N	0		0	0	0	
LGE	4/20/2007	Charleston Battery	Minnesota Thunder	Charleston Battery	Gores, Christopher	0	0	90	N	N	N	0		0	0	0	
LGE	4/20/2007	Charleston Battery	Minnesota Thunder	Charleston Battery	Karalexis, Timothy	0	0	90	N	N	N	0		0	0	0	
LGE	4/20/2007	Charleston Battery	Minnesota Thunder	Charleston Battery	Alvarez, Byron	0	0	90	N	N	N	0		0	0	0	
LGE	4/20/2007	Charleston Battery	Minnesota Thunder	Charleston Battery	Bennett, Ian	0	0	55	N	N	N	0	Hughes, Jordan	0	0	0	
LGE	4/20/2007	Charleston Battery	Minnesota Thunder	Charleston Battery	King, Aaron	0	0	69	N	N	N	0	Todd, Michael	0	0	0	
LGE	4/20/2007	Charleston Battery	Minnesota Thunder	Charleston Battery	Hudock, Dustin	0	0	90	N	N	N	0		0	0	0	
LGE	4/20/2007	Charleston Battery	Minnesota Thunder	Charleston Battery	Gold, Jeremy	0	80	90	N	N	N	0		0	0	0	
LGE	4/20/2007	Charleston Battery	Minnesota Thunder	Charleston Battery	Hughes, Jordan	0	55	90	N	N	N	0		0	0	0	
LGE	4/20/2007	Charleston Battery	Minnesota Thunder	Charleston Battery	Richardson, Michael Evan	0	80	90	N	N	N	0		0	0	0	
LGE	4/20/2007	Charleston Battery	Minnesota Thunder	Charleston Battery	Rolko, Louie (Lou)	0	0	0	N	N	N	0		0	0	0	
LGE	4/20/2007	Charleston Battery	Minnesota Thunder	Charleston Battery	Sandwina, Lee	0	0	0	N	N	N	0		0	0	0	
LGE	4/20/2007	Charleston Battery	Minnesota Thunder	Charleston Battery	Todd, Michael	0	69	90	N	N	N	0		0	0	0	
LGE	4/20/2007	Charleston Battery	Minnesota Thunder	Charleston Battery	Wiggins, Keith	0	0	0	N	N	N	0		0	0	0	
LGE	4/20/2007	Charleston Battery	Minnesota Thunder	Minnesota Thunder	Juarez, Frederico (Freddy)	0	0	90	N	N	N	0		0	0	0	
LGE	4/20/2007	Charleston Battery	Minnesota Thunder	Minnesota Thunder	Skibba, Lencho	0	0	90	N	N	N	0		0	0	0	
LGE	4/20/2007	Charleston Battery	Minnesota Thunder	Minnesota Thunder	Tenoff, Godfrey	0	0	90	N	N	N	0		0	0	0	
LGE	4/20/2007	Charleston Battery	Minnesota Thunder	Minnesota Thunder	Toure, Ansu	0	0	90	N	N	N	0		0	0	0	
LGE	4/20/2007	Charleston Battery	Minnesota Thunder	Minnesota Thunder	Alvino, Terry	0	0	90	N	N	N	0		0	0	0	
LGE	4/20/2007	Charleston Battery	Minnesota Thunder	Minnesota Thunder	Friedland, Kevin	0	0	89	N	N	N	0	Mallace, Craig	0	0	0	
LGE	4/20/2007	Charleston Battery	Minnesota Thunder	Minnesota Thunder	Smith, Derek	0	0	90	Y	N	N	25		0	0	0	
LGE	4/20/2007	Charleston Battery	Minnesota Thunder	Minnesota Thunder	Zenoni, Kyle	0	0	90	N	N	N	0		0	0	0	
LGE	4/20/2007	Charleston Battery	Minnesota Thunder	Minnesota Thunder	Gibson, Leo	0	0	69	N	N	N	0	Farber, Brian	0	0	0	
LGE	4/20/2007	Charleston Battery	Minnesota Thunder	Minnesota Thunder	Gotsmanov, Sasha	0	0	74	N	N	N	0	Hidalgo, Rodrigo	0	0	0	
LGE	4/20/2007	Charleston Battery	Minnesota Thunder	Minnesota Thunder	Warren, Joseph	0	0	90	N	N	N	0		0	0	0	
LGE	4/20/2007	Charleston Battery	Minnesota Thunder	Minnesota Thunder	Farber, Brian	0	69	90	N	N	N	0		0	0	0	
LGE	4/20/2007	Charleston Battery	Minnesota Thunder	Minnesota Thunder	Hidalgo, Rodrigo	0	74	90	N	N	N	0		0	0	0	
LGE	4/20/2007	Charleston Battery	Minnesota Thunder	Minnesota Thunder	Mallace, Craig	0	89	90	N	N	N	0		0	0	0	
LGE	4/20/2007	Charleston Battery	Minnesota Thunder	Minnesota Thunder	Pederson, Brian	0	0	0	N	N	N	0		0	0	0	
LGE	4/20/2007	Charleston Battery	Minnesota Thunder	Minnesota Thunder	Platter, Nicolas	0	0	0	N	N	N	0		0	0	0	
LGE	4/20/2007	Charlotte Eagles	Crystal Palace Baltimore	Charlotte Eagles	Herrera, Jorge	0	0	90	N	N	N	0		0	0	0	
LGE	4/20/2007	Charlotte Eagles	Crystal Palace Baltimore	Charlotte Eagles	Ruud, Adam	0	0	73	N	N	N	0	Klotz, Christopher (Klotzy)	0	0	0	
